english_name;suggested_russian_name;confidence;ambiguity_reason;number_of_in_stock_parttypes;total_in_stock_qty;manufacturers;catalog;sample_articles;applications;name_contains_russian;multi_meaning;split_by_source;safe_bulk_group;parts_with_this_english_name_total;parttypes_in_whole_catalog;suggested_operator_decision
PLUG ASS'Y;Пробка в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;292002022;;нет;да;нет;нет;1;1;EDIT
PLUG SCREW;Винт пробка;MEDIUM;проверьте порядок слов: PLUG;1;2.000;BRP;BRP;420641150;;нет;нет;нет;нет;1;1;EDIT
PROTECTOR HOSE;Шланг защита;MEDIUM;проверьте порядок слов: PROTECTOR;1;2.000;BRP;BRP;271000459;;нет;нет;нет;нет;1;1;EDIT
RETAINER CABLE;Трос фиксатор;MEDIUM;проверьте порядок слов: RETAINER;1;2.000;BRP;BRP;517302673;;нет;нет;нет;нет;1;1;EDIT
RH/LH MIRROR ASS'Y;Зеркало правый левый в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;517305787;;нет;да;нет;нет;1;1;EDIT
SLIDER FLANGE ASS'Y;Фланец ползун в сборе;MEDIUM;"проверьте порядок слов: SLIDER; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;417223606;;нет;да;нет;нет;1;1;EDIT
SPRING NUT U M5 X 0.8;Гайка пружина U M5 X 0.8;MEDIUM;проверьте порядок слов: SPRING;1;2.000;BRP;BRP;250000958;;нет;нет;нет;нет;1;1;EDIT
ALLEN SCREW M8 X 10;Винт ALLEN M8 X 10;NEEDS_HUMAN_REVIEW;не переведены слова: ALLEN;1;2.000;BRP;BRP;619230037;;нет;нет;нет;нет;1;1;EDIT
BIMINI POST;Стойка BIMINI;NEEDS_HUMAN_REVIEW;не переведены слова: BIMINI;1;2.000;BRP;BRP;204950033;;нет;нет;нет;нет;1;1;EDIT
BLACK-ELECTRONIC KEY;Ключ чёрный ELECTRONIC;NEEDS_HUMAN_REVIEW;не переведены слова: ELECTRONIC;1;2.000;BRP;BRP;710000817;;нет;нет;нет;нет;1;1;EDIT
BOLT-M10X1.5X150,HXHD FLG;Болт M10X1.5X150 HXHD FLG;NEEDS_HUMAN_REVIEW;не переведены слова: FLG, HXHD;1;2.000;POLARIS;POLARIS;7518696;;нет;нет;нет;нет;1;1;EDIT
CARBON BRUSH SET;Щётка CARBON SET;NEEDS_HUMAN_REVIEW;"не переведены слова: CARBON, SET; многозначные слова, одним переводом на всю базу не закрывается: SET";1;2.000;BRP;BRP;420881148;;нет;да;нет;нет;1;1;EDIT
COMPRESSION SPRING;Пружина COMPRESSION;NEEDS_HUMAN_REVIEW;не переведены слова: COMPRESSION;1;2.000;BRP;BRP;420638040;;нет;нет;нет;нет;1;1;EDIT
CONE BEARING;Подшипник CONE;NEEDS_HUMAN_REVIEW;не переведены слова: CONE;1;2.000;BRP;BRP;706000009;;нет;нет;нет;нет;1;1;EDIT
CONNECTING ROD ASS?Y;Шатун ASS?Y;NEEDS_HUMAN_REVIEW;не переведены слова: ASS?Y;1;2.000;BRP;BRP;420917546;;нет;нет;нет;нет;1;1;EDIT
DOUBLE BALL JOINT LINK;Шаровая опора DOUBLE LINK;NEEDS_HUMAN_REVIEW;не переведены слова: DOUBLE, LINK;1;2.000;BRP;BRP;505072204;;нет;нет;нет;нет;1;1;EDIT
DRAFT BAR;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: BAR";1;2.000;BRP;BRP;518326449;;нет;да;нет;нет;1;1;REVIEW
FLANGED HEX. SCREW M6 X 18, SCOTCH GRIP;Рукоятка фланцевый шестигранный винт M6 X 18 SCOTCH;NEEDS_HUMAN_REVIEW;не переведены слова: SCOTCH;1;2.000;BRP;BRP;250000418;;нет;нет;нет;нет;1;1;EDIT
FORK, FORWARDS;Вилка FORWARDS;NEEDS_HUMAN_REVIEW;не переведены слова: FORWARDS;1;2.000;BRP;BRP;619230055;;нет;нет;нет;нет;1;1;EDIT
HAIRPIN CUTTER;Резак HAIRPIN;NEEDS_HUMAN_REVIEW;не переведены слова: HAIRPIN;1;2.000;BRP;BRP;269800431;;нет;нет;нет;нет;1;1;EDIT
HALF-HOUSING;Корпус HALF;NEEDS_HUMAN_REVIEW;"не переведены слова: HALF; многозначные слова, одним переводом на всю базу не закрывается: HALF";1;2.000;BRP;BRP;709400034;;нет;да;нет;нет;1;1;EDIT
HALF-RING;;NEEDS_HUMAN_REVIEW;"слово «HALF» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: HALF, RING";1;2.000;BRP;BRP;420933470;;нет;да;нет;нет;1;1;REVIEW
HEATED FILM, 25W;Плёнка HEATED 25W;NEEDS_HUMAN_REVIEW;не переведены слова: HEATED;1;2.000;BRP;BRP;506152428;;нет;нет;нет;нет;1;1;EDIT
HEX. FLANGED SCREW M8 X 16, SCOTCH GRIP;Рукоятка шестигранный фланцевый винт M8 X 16 SCOTCH;NEEDS_HUMAN_REVIEW;не переведены слова: SCOTCH;1;2.000;BRP;BRP;207581646;;нет;нет;нет;нет;1;1;EDIT
JOINT ATTACHMENT;;NEEDS_HUMAN_REVIEW;"слово «JOINT» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: JOINT";1;2.000;BRP;BRP;706200444;;нет;да;нет;нет;1;1;REVIEW
LATCH PANNEL;Защёлка PANNEL;NEEDS_HUMAN_REVIEW;не переведены слова: PANNEL;1;2.000;BRP;BRP;517304289;;нет;нет;нет;нет;1;1;EDIT
LOWER HALF-HOUSING;Корпус нижний HALF;NEEDS_HUMAN_REVIEW;"не переведены слова: HALF; многозначные слова, одним переводом на всю базу не закрывается: HALF";1;2.000;BRP;BRP;506153048;;нет;да;нет;нет;1;1;EDIT
MASTER CYLINDER RESERVOIR ASS'Y;Цилиндр MASTER RESERVOIR в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: MASTER, RESERVOIR; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;507032478;;нет;да;нет;нет;1;1;EDIT
OBLONG GROMMET;Втулка резиновая OBLONG;NEEDS_HUMAN_REVIEW;не переведены слова: OBLONG;1;2.000;BRP;BRP;705002665;;нет;нет;нет;нет;1;1;EDIT
OIL LEVEL SENSOR;Датчик масляный LEVEL;NEEDS_HUMAN_REVIEW;не переведены слова: LEVEL;1;2.000;BRP;BRP;515176508;;нет;нет;нет;нет;1;1;EDIT
PISTON 72.16, 1ST OVERSIZE;Поршень 72.16 1ST OVERSIZE;NEEDS_HUMAN_REVIEW;не переведены слова: OVERSIZE;1;2.000;BRP;BRP;420890071;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y WITH RINGS, 72.17MM;Поршень в сборе WITH RINGS 72.17MM;NEEDS_HUMAN_REVIEW;"не переведены слова: RINGS, WITH; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;2.000;BRP;BRP;420893895;;нет;да;нет;нет;1;1;EDIT
PISTON ASSY 76.36 MM, 2ND OVERSIZE;Поршень в сборе 76.36 MM 2ND OVERSIZE;NEEDS_HUMAN_REVIEW;"не переведены слова: OVERSIZE; многозначные слова, одним переводом на всю базу не закрывается: ASSY";1;2.000;BRP;BRP;420889052;;нет;да;нет;нет;1;1;EDIT
PROTECTIVE RUBBER;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;2.000;BRP;BRP;504153054;;нет;нет;нет;нет;1;1;REVIEW
PROX PISTON KIT SKI DOO MXZ500 '98-99;Лыжа PROX поршень комплект DOO MXZ500 '98 99;NEEDS_HUMAN_REVIEW;"не переведены слова: '98, DOO, MXZ500; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;2.000;PROX;aftermarket;01.5598.100;;нет;да;нет;нет;1;2;EDIT
PROX PISTON KIT SKI-DOO 850 ETEC 2017-20;Лыжа PROX поршень комплект DOO 850 ETEC 2017 20;NEEDS_HUMAN_REVIEW;"не переведены слова: DOO, ETEC; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;2.000;PROX;aftermarket;01.5817.000;;нет;да;нет;нет;1;1;EDIT
REDUCER;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;2.000;BRP;BRP;271002029;;нет;нет;нет;нет;1;1;REVIEW
REED PEDAL;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;2.000;BRP;BRP;420924532;;нет;нет;нет;нет;1;1;REVIEW
RIVET_POP 1/4 X ,625;Заклёпка POP 1 4 X 625;NEEDS_HUMAN_REVIEW;не переведены слова: POP;1;2.000;BRP;BRP;293150151;;нет;нет;нет;нет;1;1;EDIT
ROD_LINK;;NEEDS_HUMAN_REVIEW;"слово «ROD» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: ROD";1;2.000;BRP;BRP;506152498;;нет;да;нет;нет;1;1;REVIEW
SNOW GUARD;Защита SNOW;NEEDS_HUMAN_REVIEW;не переведены слова: SNOW;1;2.000;BRP;BRP;520001405;;нет;нет;нет;нет;1;1;EDIT
SPARK PLUG NGK PZFR6F;Свеча зажигания NGK PZFR6F;NEEDS_HUMAN_REVIEW;не переведены слова: PZFR6F;1;2.000;BRP;BRP;415130430;;нет;нет;нет;нет;1;1;EDIT
SPI THROTTLE CABLE;Трос SPI THROTTLE;NEEDS_HUMAN_REVIEW;не переведены слова: THROTTLE;1;2.000;SPI;aftermarket;SM-05179;;нет;нет;нет;нет;1;63;EDIT
SPRING-COMPRESSION;Пружина COMPRESSION;NEEDS_HUMAN_REVIEW;не переведены слова: COMPRESSION;1;2.000;BRP;BRP;415129020;;нет;нет;нет;нет;1;1;EDIT
SQUARE RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";1;2.000;BRP;BRP;420430041;;нет;да;нет;нет;1;1;REVIEW
STOP SLEEVE;Втулка распорная STOP;NEEDS_HUMAN_REVIEW;не переведены слова: STOP;1;2.000;BRP;BRP;420660280;;нет;нет;нет;нет;1;1;EDIT
STRAP-FUEL TANK;Ремешок топливный TANK;NEEDS_HUMAN_REVIEW;не переведены слова: TANK;1;2.000;BRP;BRP;293850093;;нет;нет;нет;нет;1;1;EDIT
SWIVEL ABUTMENT;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;2.000;BRP;BRP;417127116;;нет;нет;нет;нет;1;1;REVIEW
TORX FLAT HEAD SCREW M8X16, SCOTCHGRIP;Винт TORX FLAT HEAD M8X16 SCOTCHGRIP;NEEDS_HUMAN_REVIEW;"не переведены слова: FLAT, HEAD, SCOTCHGRIP, TORX; многозначные слова, одним переводом на всю базу не закрывается: HEAD";1;2.000;BRP;BRP;235381646;;нет;да;нет;нет;1;1;EDIT
TRIANGLE;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;2.000;BRP;BRP;268000013;;нет;нет;нет;нет;1;1;REVIEW
TRIDON GEAR CLAMP;Хомут TRIDON шестерня;NEEDS_HUMAN_REVIEW;не переведены слова: TRIDON;1;2.000;BRP;BRP;293650179;;нет;нет;нет;нет;1;1;EDIT
VIPER RED HANDLE;Ручка VIPER RED;NEEDS_HUMAN_REVIEW;не переведены слова: RED, VIPER;1;2.000;BRP;BRP;505071059;;нет;нет;нет;нет;1;1;EDIT
AIR INTAKE FILTER;Фильтр воздухозаборника;HIGH;;1;1.000;BRP;BRP;508000595;;нет;нет;нет;да;1;1;APPROVE
ALL BALLS TIE ROD END KIT RIGHT;Комплект наконечников рулевой тяги ALL BALLS правый;HIGH;;1;1.000;ALL BALLS RACING INC;aftermarket;51-1047-R;;нет;нет;нет;да;1;11;APPROVE
BALL BEARING;Подшипник шариковый;HIGH;это же название встречается у другого производителя или каталога: группа разделена, решение действует только на свою;1;1.000;POLARIS;POLARIS;3086878;;нет;нет;да;да;16;1;APPROVE
BEARING HOUSING;Корпус подшипника;HIGH;;1;1.000;BRP;BRP;507032437;;нет;нет;нет;да;1;1;APPROVE
BILGE PUMP;Насос трюмный;HIGH;;1;1.000;BRP;BRP;295100739;;нет;нет;нет;да;1;1;APPROVE
BRAKE LINE;Магистраль тормозная;HIGH;;1;1.000;BRP;BRP;705601519;;нет;нет;нет;да;1;1;APPROVE
BRAKE SWITCH;Выключатель стоп-сигнала;HIGH;;1;1.000;BRP;BRP;710001345;;нет;нет;нет;да;1;1;APPROVE
BUMPER F;Бампер F;HIGH;;1;1.000;BRP;BRP;502007869;;нет;нет;нет;да;1;1;APPROVE
BUMPER, BLACK;Бампер чёрный;HIGH;;1;1.000;BRP;BRP;502006679;;нет;нет;нет;да;1;1;APPROVE
CYLINDER;Цилиндр;HIGH;;1;1.000;BRP;BRP;420413041;;нет;нет;нет;да;1;1;APPROVE
CYLINDER, 77.25;Цилиндр 77.25;HIGH;;1;1.000;POLARIS;POLARIS;3022206;;нет;нет;нет;да;1;1;APPROVE
DEFLECTOR;Дефлектор;HIGH;;1;1.000;BRP;BRP;509000985;;нет;нет;нет;да;1;1;APPROVE
DRAIN PLUG;Пробка сливная;HIGH;;1;1.000;BRP;BRP;705500894;;нет;нет;нет;да;1;1;APPROVE
EXHAUST CLAMP;Хомут выпускной;HIGH;;1;1.000;BRP;BRP;274001417;;нет;нет;нет;да;1;1;APPROVE
FRONT MEMBER;Балка передний;HIGH;;1;1.000;BRP;BRP;518326198;;нет;нет;нет;да;1;1;APPROVE
GRILL RH;Решётка правый;HIGH;;1;1.000;BRP;BRP;517307408;;нет;нет;нет;да;1;1;APPROVE
GUIDE;Направляющая;HIGH;;1;1.000;BRP;BRP;417300381;;нет;нет;нет;да;1;1;APPROVE
HEX FLANGED SCREW M12 X 16;Винт шестигранный фланцевый M12 X 16;HIGH;;1;1.000;BRP;BRP;250001039;;нет;нет;нет;да;1;1;APPROVE
HOOD;Капот;HIGH;;1;1.000;BRP;BRP;517307433;;нет;нет;нет;да;1;1;APPROVE
HOOD LH B-160;Капот левый B 160;HIGH;;1;1.000;BRP;BRP;517305240;;нет;нет;нет;да;1;1;APPROVE
HOOK - RIGHT;Крюк правый;HIGH;;1;1.000;BRP;BRP;517306311;;нет;нет;нет;да;1;1;APPROVE
IGNITION COIL;Катушка зажигания;HIGH;;1;1.000;BRP;BRP;512060953;;нет;нет;нет;да;1;1;APPROVE
LATCH;Защёлка;HIGH;;1;1.000;BRP;BRP;269500530;;нет;нет;нет;да;1;1;APPROVE
LH FRONT MEMBER;Балка левый передний;HIGH;;1;1.000;BRP;BRP;518325950;;нет;нет;нет;да;1;1;APPROVE
LH HEX. NUT M6;Гайка левый шестигранный M6;HIGH;;1;1.000;BRP;BRP;232066414;;нет;нет;нет;да;1;1;APPROVE
LOWER GRILL;Решётка нижний;HIGH;;1;1.000;BRP;BRP;705002283;;нет;нет;нет;да;1;1;APPROVE
O-ring;Кольцо уплотнительное;HIGH;;1;1.000;BRP;BRP;614601523;;нет;нет;нет;да;1;1;APPROVE
OIL PUMP;Насос масляный;HIGH;;1;1.000;BRP;BRP;519000305;;нет;нет;нет;да;1;1;APPROVE
OIL SENSOR;Датчик масляный;HIGH;;1;1.000;BRP;BRP;278001515;;нет;нет;нет;да;1;1;APPROVE
Oil seal;Сальник;HIGH;;1;1.000;BRP;BRP;614102031;;нет;нет;нет;да;1;1;APPROVE
RH AIR DEFLECTOR;Дефлектор правый воздушный;HIGH;;1;1.000;BRP;BRP;705006135;;нет;нет;нет;да;1;1;APPROVE
RH AIR FILTER;Фильтр воздушный правый;HIGH;;1;1.000;BRP;BRP;508000730;;нет;нет;нет;да;1;1;APPROVE
RH PROTECTOR;Защита правый;HIGH;;1;1.000;BRP;BRP;520000693;;нет;нет;нет;да;1;1;APPROVE
RH STEERING BRACKET;Кронштейн правый рулевой;HIGH;;1;1.000;BRP;BRP;709400994;;нет;нет;нет;да;1;1;APPROVE
RUBBER BUMPER;Бампер резиновый;HIGH;;1;1.000;BRP;BRP;514053654;;нет;нет;нет;да;1;1;APPROVE
RUBBER WASHER 5 MM;Шайба резиновый 5 MM;HIGH;;1;1.000;BRP;BRP;250200024;;нет;нет;нет;да;1;1;APPROVE
Rubber Stopper;Упор резиновый;HIGH;;1;1.000;BRP;BRP;535455;;нет;нет;нет;да;1;1;APPROVE
SLIDER;Ползун;HIGH;;1;1.000;BRP;BRP;271001107;;нет;нет;нет;да;1;1;APPROVE
STRAP;Ремешок;HIGH;;1;1.000;BRP;BRP;293850022;;нет;нет;нет;да;1;1;APPROVE
STUD-FRONT;Шпилька передний;HIGH;;1;1.000;BRP;BRP;517305988;;нет;нет;нет;да;1;1;APPROVE
AIR FILTER LH  (NITEX MESH);Фильтр воздушный левый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;1;1.000;BRP;BRP;508000905;;нет;нет;нет;нет;1;1;EDIT
BLACK WHEEL ASS'Y, 200 MM;Колесо чёрный в сборе 200 MM;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;503193098;;нет;да;нет;нет;1;1;EDIT
CLAMP KIT;Хомут комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRP;BRP;860202520;;нет;да;нет;нет;1;1;EDIT
EXHAUST MUFFLER SUPPORT;Кронштейн выпускной глушитель;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;1;1.000;BRP;BRP;514054767;;нет;нет;нет;нет;1;1;EDIT
GUIDE SCREW;Винт направляющая;MEDIUM;проверьте порядок слов: GUIDE;1;1.000;BRP;BRP;404105500;;нет;нет;нет;нет;1;1;EDIT
HANDLE ASS'Y;Ручка в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;512061250;;нет;да;нет;нет;1;1;EDIT
HOSE BRACKET;Кронштейн шланг;MEDIUM;проверьте порядок слов: HOSE;1;1.000;BRP;BRP;420660290;;нет;нет;нет;нет;1;1;EDIT
HOSE RADIATOR;Радиатор шланг;MEDIUM;проверьте порядок слов: HOSE;1;1.000;BRP;BRP;509000983;;нет;нет;нет;нет;1;1;EDIT
INSERT;Вставка;MEDIUM;у слова несколько принятых переводов, выберите нужный: INSERT;1;1.000;BRP;BRP;293450153;;нет;нет;нет;нет;1;1;EDIT
LATCH PANEL;Панель защёлка;MEDIUM;проверьте порядок слов: LATCH;1;1.000;BRP;BRP;517304290;;нет;нет;нет;нет;1;1;EDIT
LH CAP;Колпачок левый;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;1;1.000;BRP;BRP;705004409;;нет;нет;нет;нет;1;1;EDIT
LH HOUSING SWITCH;Выключатель левый корпус;MEDIUM;проверьте порядок слов: HOUSING;1;1.000;BRP;BRP;515177509;;нет;нет;нет;нет;1;1;EDIT
LH PANEL LATCH;Защёлка левый панель;MEDIUM;проверьте порядок слов: PANEL;1;1.000;BRP;BRP;517303808;;нет;нет;нет;нет;1;1;EDIT
MIRROR BRACKET;Кронштейн зеркало;MEDIUM;проверьте порядок слов: MIRROR;1;1.000;BRP;BRP;715000190;;нет;нет;нет;нет;1;1;EDIT
NEEDLE BEARING ASS'Y;Подшипник игольчатый в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;703500836;;нет;да;нет;нет;1;1;EDIT
NEEDLE BUSHING;Втулка игла;MEDIUM;проверьте порядок слов: NEEDLE;1;1.000;BRP;BRP;420232480;;нет;нет;нет;нет;1;1;EDIT
OIL PUMP COVER;Насос масляный крышка;MEDIUM;проверьте порядок слов: COVER;1;1.000;BRP;BRP;420210646;;нет;нет;нет;нет;1;1;EDIT
PAD_BRAKE KIT;Колодка тормозной комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRP;BRP;507032473;;нет;да;нет;нет;1;1;EDIT
PROTECTOR CAP;Колпачок защита;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;1;1.000;BRP;BRP;710000496;;нет;нет;нет;нет;1;1;EDIT
PULLEY DRIVE BOLT;Болт шкив приводной;MEDIUM;проверьте порядок слов: PULLEY;1;1.000;BRP;BRP;417300432;;нет;нет;нет;нет;1;1;EDIT
RH PANEL LATCH;Защёлка правый панель;MEDIUM;проверьте порядок слов: PANEL;1;1.000;BRP;BRP;517303612;;нет;нет;нет;нет;1;1;EDIT
SLIDER ADAPTOR ASS'Y;Переходник ползун в сборе;MEDIUM;"проверьте порядок слов: SLIDER; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;417223615;;нет;да;нет;нет;1;1;EDIT
SPRING BRACKET;Кронштейн пружина;MEDIUM;проверьте порядок слов: SPRING;1;1.000;BRP;BRP;514053393;;нет;нет;нет;нет;1;1;EDIT
SPRING COVER ASS'Y;Крышка пружина в сборе;MEDIUM;"проверьте порядок слов: SPRING; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;417007500;;нет;да;нет;нет;1;1;EDIT
SPRING GUIDE;Направляющая пружина;MEDIUM;проверьте порядок слов: SPRING;1;1.000;BRP;BRP;417224002;;нет;нет;нет;нет;1;1;EDIT
SPRING PLATE;Пластина пружина;MEDIUM;у слова несколько принятых переводов, выберите нужный: PLATE;1;1.000;BRP;BRP;M5346728;;нет;нет;нет;нет;1;1;EDIT
STARTER RELAY;Реле стартер;MEDIUM;проверьте порядок слов: STARTER;1;1.000;BRP;BRP;278003012;;нет;нет;нет;нет;1;1;EDIT
STOPPER WASHER;Шайба упор;MEDIUM;проверьте порядок слов: STOPPER;1;1.000;BRP;BRP;417004302;;нет;нет;нет;нет;1;1;EDIT
STRAP COVER;Крышка ремешок;MEDIUM;проверьте порядок слов: STRAP;1;1.000;BRP;BRP;510005146;;нет;нет;нет;нет;1;1;EDIT
SUPPORT;Кронштейн;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;1;1.000;BRP;BRP;707600933;;нет;нет;нет;нет;1;1;EDIT
SWITCH ASS'Y;Выключатель в сборе;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;515176472;;нет;да;нет;нет;1;1;EDIT
VALVE HOUSING;Корпус клапан;MEDIUM;проверьте порядок слов: VALVE;1;1.000;BRP;BRP;420954063;;нет;нет;нет;нет;1;1;EDIT
ANTI-THEFT TETHER CORD;Шнур ANTI THEFT чека;NEEDS_HUMAN_REVIEW;не переведены слова: ANTI, THEFT;1;1.000;BRP;BRP;278003400;;нет;нет;нет;нет;1;1;EDIT
AXLE BAR (LONG);Ось BAR длинный;NEEDS_HUMAN_REVIEW;"не переведены слова: BAR; многозначные слова, одним переводом на всю базу не закрывается: BAR";1;1.000;BRP;BRP;503190643;;нет;да;нет;нет;1;1;EDIT
Adjustment plate, extension;Пластина ADJUSTMENT EXTENSION;NEEDS_HUMAN_REVIEW;не переведены слова: ADJUSTMENT, EXTENSION;1;1.000;BRP;BRP;5440645;;нет;нет;нет;нет;1;1;EDIT
BLOCK-RH;;NEEDS_HUMAN_REVIEW;"слово «BLOCK» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: BLOCK";1;1.000;BRP;BRP;503192427;;нет;да;нет;нет;1;1;REVIEW
BOLT-M10X1.5X125,HX HD FLG;Болт M10X1.5X125 HX HD FLG;NEEDS_HUMAN_REVIEW;не переведены слова: FLG;1;1.000;POLARIS;POLARIS;7518680;;нет;нет;нет;нет;1;1;EDIT
BOTTOM PAN AIR VENT RH.;Вентиляционная решётка BOTTOM PAN воздушный RH.;NEEDS_HUMAN_REVIEW;"не переведены слова: BOTTOM, PAN, RH.; многозначные слова, одним переводом на всю базу не закрывается: PAN";1;1.000;BRP;BRP;517306982;;нет;да;нет;нет;1;1;EDIT
BOTTOM PAN GRILL;Решётка BOTTOM PAN;NEEDS_HUMAN_REVIEW;"не переведены слова: BOTTOM, PAN; многозначные слова, одним переводом на всю базу не закрывается: PAN";1;1.000;BRP;BRP;502006687;;нет;да;нет;нет;1;1;EDIT
BOWDEN CABLE ASSY;Трос BOWDEN в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: BOWDEN; многозначные слова, одним переводом на всю базу не закрывается: ASSY";1;1.000;BRP;BRP;420997033;;нет;да;нет;нет;1;1;EDIT
CALIBRATION MODULE;Модуль CALIBRATION;NEEDS_HUMAN_REVIEW;не переведены слова: CALIBRATION;1;1.000;BRP;BRP;512059626;;нет;нет;нет;нет;1;1;EDIT
CALIBRATION SCREW;Винт CALIBRATION;NEEDS_HUMAN_REVIEW;не переведены слова: CALIBRATION;1;1.000;BRP;BRP;417222955;;нет;нет;нет;нет;1;1;EDIT
CAM;;NEEDS_HUMAN_REVIEW;"слово «CAM» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;1.000;BRP;BRP;420280473;;нет;да;нет;нет;1;1;REVIEW
CAM ASS'Y;;NEEDS_HUMAN_REVIEW;"слово «CAM» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y, CAM";1;1.000;BRP;BRP;417127367;;нет;да;нет;нет;1;1;REVIEW
CAMSHAFT POSITION SENSOR ASS'Y;Датчик CAMSHAFT POSITION в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: CAMSHAFT, POSITION; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;420664046;;нет;да;нет;нет;1;1;EDIT
CASTED SUPPORT;Кронштейн CASTED;NEEDS_HUMAN_REVIEW;не переведены слова: CASTED;1;1.000;BRP;BRP;503193894;;нет;нет;нет;нет;1;1;EDIT
CHOKE CABLE;Трос CHOKE;NEEDS_HUMAN_REVIEW;не переведены слова: CHOKE;1;1.000;BRP;BRP;512060674;;нет;нет;нет;нет;1;1;EDIT
CLAMP AND SCREW KIT;Винт хомут AND комплект;NEEDS_HUMAN_REVIEW;"не переведены слова: AND; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRP;BRP;507032477;;нет;да;нет;нет;1;1;EDIT
CONICAL SPRING WASHER M18;Шайба CONICAL пружина M18;NEEDS_HUMAN_REVIEW;не переведены слова: CONICAL;1;1.000;BRP;BRP;250200171;;нет;нет;нет;нет;1;1;EDIT
CONSOLE NUT;Гайка CONSOLE;NEEDS_HUMAN_REVIEW;не переведены слова: CONSOLE;1;1.000;BRP;BRP;517304518;;нет;нет;нет;нет;1;1;EDIT
COTTER VALVE;Клапан COTTER;NEEDS_HUMAN_REVIEW;не переведены слова: COTTER;1;1.000;BRP;BRP;420254630;;нет;нет;нет;нет;1;1;EDIT
CVT AIR DUCT PULLEY;Шкив CVT воздушный DUCT;NEEDS_HUMAN_REVIEW;не переведены слова: CVT, DUCT;1;1.000;BRP;BRP;417300440;;нет;нет;нет;нет;1;1;EDIT
CYLINDER BLOCK PLASMA;Цилиндр BLOCK PLASMA;NEEDS_HUMAN_REVIEW;"не переведены слова: BLOCK, PLASMA; многозначные слова, одним переводом на всю базу не закрывается: BLOCK";1;1.000;BRP;BRP;420413575;;нет;да;нет;нет;1;1;EDIT
